node1	label	node2
P1262	data_type	external-identifier
P1263	data_type	external-identifier
P1264	data_type	item
P1265	data_type	external-identifier
P1266	data_type	external-identifier
P1267	data_type	external-identifier
P1268	data_type	item
P1269	data_type	item
P1270	data_type	external-identifier
P1271	data_type	external-identifier
P1272	data_type	external-identifier
P1273	data_type	external-identifier
P1274	data_type	external-identifier
P1275	data_type	external-identifier
P1276	data_type	external-identifier
P1277	data_type	external-identifier
P1278	data_type	external-identifier
P1279	data_type	quantity
P1280	data_type	external-identifier
P1281	data_type	external-identifier
P1282	data_type	string
P1283	data_type	item
P1284	data_type	external-identifier
P1285	data_type	external-identifier
P1286	data_type	external-identifier
P1287	data_type	external-identifier
P1288	data_type	external-identifier
P1289	data_type	external-identifier
P1290	data_type	item
P1291	data_type	external-identifier
P1292	data_type	external-identifier
P1293	data_type	external-identifier
P1294	data_type	external-identifier
P1295	data_type	quantity
P1296	data_type	external-identifier
P1297	data_type	external-identifier
P1299	data_type	item
P1300	data_type	external-identifier
P1301	data_type	quantity
P1302	data_type	item
P1303	data_type	item
P1304	data_type	item
P1305	data_type	external-identifier
P1307	data_type	external-identifier
P1308	data_type	item
P1309	data_type	external-identifier
P1310	data_type	item
P1311	data_type	external-identifier
P1312	data_type	item
P1313	data_type	item
P1314	data_type	quantity
P1315	data_type	external-identifier
P1316	data_type	external-identifier
P1317	data_type	time
P1318	data_type	item
P1319	data_type	time
P1320	data_type	external-identifier
P1321	data_type	item
P1322	data_type	item
P1323	data_type	external-identifier
P1324	data_type	url
P1325	data_type	url
P1326	data_type	time
P1327	data_type	item
P1329	data_type	string
P1330	data_type	external-identifier
P1331	data_type	external-identifier
P1332	data_type	string
P1333	data_type	string
P1334	data_type	string
P1335	data_type	string
P1336	data_type	item
P1338	data_type	external-identifier
P1339	data_type	quantity
P1340	data_type	item
P1341	data_type	external-identifier
P1342	data_type	quantity
P1343	data_type	item
P1344	data_type	item
P1345	data_type	quantity
P1346	data_type	item
P1347	data_type	item
P1348	data_type	url
P1349	data_type	item
P1350	data_type	quantity
P1351	data_type	quantity
P1352	data_type	quantity
P1353	data_type	string
P1354	data_type	item
P1355	data_type	quantity
P1356	data_type	quantity
P1357	data_type	quantity
P1358	data_type	quantity
P1359	data_type	quantity
P1360	data_type	string
P1362	data_type	external-identifier
P1363	data_type	item
P1364	data_type	external-identifier
P1365	data_type	item
P1366	data_type	item
P1367	data_type	external-identifier
P1368	data_type	external-identifier
P1369	data_type	external-identifier
P1370	data_type	external-identifier
P1371	data_type	external-identifier
P1372	data_type	item
P1373	data_type	quantity
P1375	data_type	external-identifier
P1376	data_type	item
P1377	data_type	external-identifier
P1378	data_type	external-identifier
P1380	data_type	external-identifier
P1381	data_type	external-identifier
P1382	data_type	item
P1383	data_type	item
P1385	data_type	external-identifier
P1386	data_type	external-identifier
P1387	data_type	item
P1388	data_type	external-identifier
P1389	data_type	item
P1390	data_type	quantity
P1391	data_type	external-identifier
P1392	data_type	external-identifier
P1393	data_type	item
P1394	data_type	external-identifier
P1395	data_type	external-identifier
P1396	data_type	external-identifier
P1397	data_type	external-identifier
P1398	data_type	item
P1399	data_type	item
P1400	data_type	external-identifier
P1401	data_type	url
P1402	data_type	string
P1403	data_type	item
P1404	data_type	external-identifier
P1406	data_type	item
P1407	data_type	external-identifier
P1408	data_type	item
P1409	data_type	external-identifier
P1410	data_type	quantity
P1411	data_type	item
P1412	data_type	item
P1414	data_type	item
P1415	data_type	external-identifier
P1416	data_type	item
P1417	data_type	external-identifier
P1418	data_type	quantity
P1419	data_type	item
P1420	data_type	item
P1421	data_type	url
P1422	data_type	external-identifier
P1423	data_type	item
P1424	data_type	item
P1425	data_type	item
P1427	data_type	item
P1428	data_type	external-identifier
P1429	data_type	item
